column,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
cot_csharp,0.8266740803497189,0.7844578972880263,0.7486249292871305,0.7191913122796624,0.5111076851535679,0.8137512637182773,5.414187967807811,0.7331185681351337
cot_go,0.7708933588097218,0.7205122095761023,0.6791265655189499,0.6453300778366442,0.46858595847082557,0.7682585374237151,4.555193073253001,0.7187440579781651
cot_javascript,0.8484307593285304,0.8142348439130067,0.7836886672462849,0.7579822426545534,0.5400869074058292,0.8310493302810589,5.8541316358771525,0.7852807843580623
cot_kotlin,0.8241529195996512,0.7851560264861697,0.7511225162914995,0.7223128694828088,0.5093471938102528,0.8102148474023352,5.497553459937336,0.7649620465508342
cot_perl,0.7646898135733531,0.7077278636756696,0.663653395794866,0.6281713607968066,0.4660661975507954,0.7553736443608565,4.119072518289284,0.6742041593623261
cot_php,0.830133576702281,0.7874065564743079,0.751780149519404,0.7213750687813643,0.5141637960716486,0.8064963219696724,5.213237265427944,0.7574184951441525
cot_python,0.80316154179281,0.7560847312013942,0.7162123946424496,0.6834484644800638,0.4933830241309419,0.7940296402113719,5.111475551279645,0.7510139518583088
cot_ruby,0.808513909101821,0.7664511254885955,0.7302751316819148,0.7006244842897921,0.5017356938370308,0.7969641035734935,5.198630357608354,0.7292106025224749
cot_scala,0.8275660201759127,0.7873246429669792,0.7545564104136356,0.7276489393556966,0.5133427432764184,0.8110325488579768,5.698772126475444,0.7643077841212869
cot_swift,0.8249083158180445,0.7824546674009754,0.7456209696592783,0.7141038577424532,0.5064977811645708,0.810487808907917,5.283071649214778,0.7485943239245756
cot_typescript,0.8323961937714462,0.793133012591536,0.7576255225041733,0.726607524586696,0.5216165090176311,0.824815812196622,5.441416551773742,0.7576001231199693
